Indoor or Outdoor?,Type of Task,Name of the Task,Date,Start Time,End Time,Percentage of Successful Completion,Reason for Success
Indoor,"Intellectual (e.g. study, read, do homework, write a paper, watch documentary, etc.)",Studying,1/1/2018,08:00:00,10:00:00,10,
Indoor,"Physical Work (e.g. House Maintenance, Gardening etc.)",Clean Home,1/1/2018,10:00:00,12:00:00,10,
Indoor,"Spiritual (e.g. Meditation, Prayers etc.)",Prayers,1/1/2018,15:00:00,16:00:00,7,
Indoor,"Fitness and Health (eg: Swimming, Jogging, Workout etc.)",Gym,1/1/2018,16:00:00,18:00:00,10,
Indoor,"Social Activity (e.g. Parents, Kids etc.)",Friends,1/1/2018,18:00:00,20:00:00,8,Determination
Indoor,"Intellectual (e.g. study, read, do homework, write a paper, watch documentary, etc.)",Research,1/2/2018,08:00:00,10:00:00,10,
Outdoor,"Physical Work (e.g. House Maintenance, Gardening etc.)",Clean Lawn,1/2/2018,10:00:00,12:00:00,2,
Outdoor,"Spiritual (e.g. Meditation, Prayers etc.)",Meditation,1/2/2018,15:00:00,16:00:00,9,
Indoor,"Fitness and Health (eg: Swimming, Jogging, Workout etc.)",Swimming,1/2/2018,16:00:00,18:00:00,10,
Outdoor,"Social Activity (e.g. Parents, Kids etc.)",Kids,1/2/2018,18:00,21:00,8,
Indoor,"Intellectual (e.g. study, read, do homework, write a paper, watch documentary, etc.)",Assignments,1/3/2018,08:00:00,10:00:00,10,
Outdoor,"Physical Work (e.g. House Maintenance, Gardening etc.)",Clean Car,1/3/2018,10:00:00,12:00:00,8,
Indoor,"Spiritual (e.g. Meditation, Prayers etc.)",Prayers,1/3/2018,14:00,16:00,2,
Outdoor,"Social Activity (e.g. Parents, Kids etc.)",Parents,1/3/2018,16:00,18:00,9,
Outdoor,"Social Activity (e.g. Parents, Kids etc.)",Movies,1/3/2018,18:00,21:00,3,
Indoor,"Intellectual (e.g. study, read, do homework, write a paper, watch documentary, etc.)",Studying,1/4/2018,08:00:00,10:00:00,8,
Outdoor,"Errands (e.g. Pay Bills, go to Post Office, Shopping etc.)",House Supplies,1/4/2018,10:00:00,12:00:00,3,
Indoor,"Physical Work (e.g. House Maintenance, Gardening etc.)",Gym,1/4/2018,16:00,18:00,8,
Outdoor,"Errands (e.g. Pay Bills, go to Post Office, Shopping etc.)",Post Office,1/4/2018,18:00,20:00,9,
Indoor,"Spiritual (e.g. Meditation, Prayers etc.)",Meditation,1/4/2018,20:00,22:00,5,
Outdoor,"Intellectual (e.g. study, read, do homework, write a paper, watch documentary, etc.)",Studying,1/5/2018,08:00,10:00,10,
Indoor,"Physical Work (e.g. House Maintenance, Gardening etc.)",Clean Basement,1/5/2018,10:00,12:00,1,
Indoor,"Spiritual (e.g. Meditation, Prayers etc.)",Meditation,1/5/2018,14:00,16:00,10,
Outdoor,"Social Activity (e.g. Parents, Kids etc.)",Friends,1/5/2018,16:00,18:00,2,
Indoor,"Social Activity (e.g. Parents, Kids etc.)",Kids,1/5/2018,18:00,20:00,5,
Indoor,"Intellectual (e.g. study, read, do homework, write a paper, watch documentary, etc.)",Studying,1/6/2018,08:00:00,10:00:00,4,
Indoor,"Physical Work (e.g. House Maintenance, Gardening etc.)",Clean Home,1/6/2018,10:00:00,12:00:00,7,
Indoor,"Spiritual (e.g. Meditation, Prayers etc.)",Prayers,1/6/2018,15:00:00,16:00:00,8,
Indoor,"Fitness and Health (eg: Swimming, Jogging, Workout etc.)",Gym,1/6/2018,16:00:00,18:00:00,8,
Indoor,"Social Activity (e.g. Parents, Kids etc.)",Friends,1/6/2018,18:00:00,20:00:00,10,
Indoor,"Intellectual (e.g. study, read, do homework, write a paper, watch documentary, etc.)",Research,1/7/2018,08:00:00,10:00:00,7,
Outdoor,"Physical Work (e.g. House Maintenance, Gardening etc.)",Clean Lawn,1/7/2018,10:00:00,12:00:00,2,
Outdoor,"Spiritual (e.g. Meditation, Prayers etc.)",Meditation,1/7/2018,15:00:00,16:00:00,7,
Indoor,"Fitness and Health (eg: Swimming, Jogging, Workout etc.)",Swimming,1/7/2018,16:00:00,18:00:00,10,
Outdoor,"Social Activity (e.g. Parents, Kids etc.)",Kids,1/7/2018,18:00,21:00,2,
Indoor,"Intellectual (e.g. study, read, do homework, write a paper, watch documentary, etc.)",Assignments,1/8/2018,08:00:00,10:00:00,1,
Outdoor,"Physical Work (e.g. House Maintenance, Gardening etc.)",Clean Car,1/8/2018,10:00:00,12:00:00,2,
Indoor,"Spiritual (e.g. Meditation, Prayers etc.)",Prayers,1/8/2018,14:00,16:00,10,
Outdoor,"Social Activity (e.g. Parents, Kids etc.)",Parents,1/8/2018,16:00,18:00,4,
Outdoor,"Social Activity (e.g. Parents, Kids etc.)",Movies,1/8/2018,18:00,21:00,1,
Indoor,"Intellectual (e.g. study, read, do homework, write a paper, watch documentary, etc.)",Studying,1/9/2018,08:00:00,10:00:00,2,
Outdoor,"Errands (e.g. Pay Bills, go to Post Office, Shopping etc.)",House Supplies,1/9/2018,10:00:00,12:00:00,8,
Indoor,"Physical Work (e.g. House Maintenance, Gardening etc.)",Gym,1/9/2018,16:00,18:00,10,
Outdoor,"Errands (e.g. Pay Bills, go to Post Office, Shopping etc.)",Post Office,1/9/2018,18:00,20:00,8,
Indoor,"Spiritual (e.g. Meditation, Prayers etc.)",Meditation,1/9/2018,20:00,22:00,6,
Outdoor,"Intellectual (e.g. study, read, do homework, write a paper, watch documentary, etc.)",Studying,1/10/2018,08:00,10:00,9,
Indoor,"Physical Work (e.g. House Maintenance, Gardening etc.)",Clean Basement,1/10/2018,10:00,12:00,2,
Indoor,"Spiritual (e.g. Meditation, Prayers etc.)",Meditation,1/10/2018,14:00,16:00,7,
Outdoor,"Social Activity (e.g. Parents, Kids etc.)",Friends,1/10/2018,16:00,18:00,9,
Indoor,"Social Activity (e.g. Parents, Kids etc.)",Kids,1/10/2018,18:00,20:00,3,
Indoor,"Intellectual (e.g. study, read, do homework, write a paper, watch documentary, etc.)",Studying,1/11/2018,08:00:00,10:00:00,6,
Indoor,"Physical Work (e.g. House Maintenance, Gardening etc.)",Clean Home,1/11/2018,10:00:00,12:00:00,9,
Indoor,"Spiritual (e.g. Meditation, Prayers etc.)",Prayers,1/11/2018,15:00:00,16:00:00,1,
Indoor,"Fitness and Health (eg: Swimming, Jogging, Workout etc.)",Gym,1/11/2018,16:00:00,18:00:00,8,
Indoor,"Social Activity (e.g. Parents, Kids etc.)",Friends,1/11/2018,18:00:00,20:00:00,10,
Indoor,"Intellectual (e.g. study, read, do homework, write a paper, watch documentary, etc.)",Research,1/12/2018,08:00:00,10:00:00,2,
Outdoor,"Physical Work (e.g. House Maintenance, Gardening etc.)",Clean Lawn,1/12/2018,10:00:00,12:00:00,1,
Outdoor,"Spiritual (e.g. Meditation, Prayers etc.)",Meditation,1/12/2018,15:00:00,16:00:00,8,
Indoor,"Fitness and Health (eg: Swimming, Jogging, Workout etc.)",Swimming,1/12/2018,16:00:00,18:00:00,8,
Outdoor,"Social Activity (e.g. Parents, Kids etc.)",Kids,1/12/2018,18:00,21:00,3,
Indoor,"Intellectual (e.g. study, read, do homework, write a paper, watch documentary, etc.)",Assignments,1/13/2018,08:00:00,10:00:00,9,
Outdoor,"Physical Work (e.g. House Maintenance, Gardening etc.)",Clean Car,1/13/2018,10:00:00,12:00:00,6,
Indoor,"Spiritual (e.g. Meditation, Prayers etc.)",Prayers,1/13/2018,14:00,16:00,7,
Outdoor,"Social Activity (e.g. Parents, Kids etc.)",Parents,1/13/2018,16:00,18:00,6,
Outdoor,"Social Activity (e.g. Parents, Kids etc.)",Movies,1/13/2018,18:00,21:00,8,
Indoor,"Intellectual (e.g. study, read, do homework, write a paper, watch documentary, etc.)",Studying,1/14/2018,08:00:00,10:00:00,1,
Outdoor,"Errands (e.g. Pay Bills, go to Post Office, Shopping etc.)",House Supplies,1/14/2018,10:00:00,12:00:00,7,
Indoor,"Physical Work (e.g. House Maintenance, Gardening etc.)",Gym,1/14/2018,16:00,18:00,3,
Outdoor,"Errands (e.g. Pay Bills, go to Post Office, Shopping etc.)",Post Office,1/14/2018,18:00,20:00,5,
Indoor,"Spiritual (e.g. Meditation, Prayers etc.)",Meditation,1/14/2018,20:00,22:00,1,
Outdoor,"Intellectual (e.g. study, read, do homework, write a paper, watch documentary, etc.)",Studying,1/15/2018,08:00,10:00,10,
Indoor,"Physical Work (e.g. House Maintenance, Gardening etc.)",Clean Basement,1/15/2018,10:00,12:00,10,
Indoor,"Spiritual (e.g. Meditation, Prayers etc.)",Meditation,1/15/2018,14:00,16:00,10,
Outdoor,"Social Activity (e.g. Parents, Kids etc.)",Friends,1/15/2018,16:00,18:00,1,
Indoor,"Social Activity (e.g. Parents, Kids etc.)",Kids,1/15/2018,18:00,20:00,1,
Indoor,"Intellectual (e.g. study, read, do homework, write a paper, watch documentary, etc.)",Studying,1/16/2018,08:00:00,10:00:00,7,
Indoor,"Physical Work (e.g. House Maintenance, Gardening etc.)",Clean Home,1/16/2018,10:00:00,12:00:00,3,
Indoor,"Spiritual (e.g. Meditation, Prayers etc.)",Prayers,1/16/2018,15:00:00,16:00:00,6,
Indoor,"Fitness and Health (eg: Swimming, Jogging, Workout etc.)",Gym,1/16/2018,16:00:00,18:00:00,2,
Indoor,"Social Activity (e.g. Parents, Kids etc.)",Friends,1/16/2018,18:00:00,20:00:00,8,
Indoor,"Intellectual (e.g. study, read, do homework, write a paper, watch documentary, etc.)",Research,1/17/2018,08:00:00,10:00:00,2,
Outdoor,"Physical Work (e.g. House Maintenance, Gardening etc.)",Clean Lawn,1/17/2018,10:00:00,12:00:00,8,
Outdoor,"Spiritual (e.g. Meditation, Prayers etc.)",Meditation,1/17/2018,15:00:00,16:00:00,7,
Indoor,"Fitness and Health (eg: Swimming, Jogging, Workout etc.)",Swimming,1/17/2018,16:00:00,18:00:00,9,
Outdoor,"Social Activity (e.g. Parents, Kids etc.)",Kids,1/17/2018,18:00,21:00,9,
Indoor,"Intellectual (e.g. study, read, do homework, write a paper, watch documentary, etc.)",Assignments,1/18/2018,08:00:00,10:00:00,1,
Outdoor,"Physical Work (e.g. House Maintenance, Gardening etc.)",Clean Car,1/18/2018,10:00:00,12:00:00,6,
Indoor,"Spiritual (e.g. Meditation, Prayers etc.)",Prayers,1/18/2018,14:00,16:00,9,
Outdoor,"Social Activity (e.g. Parents, Kids etc.)",Parents,1/18/2018,16:00,18:00,1,
Outdoor,"Social Activity (e.g. Parents, Kids etc.)",Movies,1/18/2018,18:00,21:00,9,
Indoor,"Intellectual (e.g. study, read, do homework, write a paper, watch documentary, etc.)",Studying,1/19/2018,08:00:00,10:00:00,8,
Outdoor,"Errands (e.g. Pay Bills, go to Post Office, Shopping etc.)",House Supplies,1/19/2018,10:00:00,12:00:00,9,
Indoor,"Physical Work (e.g. House Maintenance, Gardening etc.)",Gym,1/19/2018,16:00,18:00,9,
Outdoor,"Errands (e.g. Pay Bills, go to Post Office, Shopping etc.)",Post Office,1/19/2018,18:00,20:00,10,
Indoor,"Spiritual (e.g. Meditation, Prayers etc.)",Meditation,1/19/2018,20:00,22:00,7,
Outdoor,"Intellectual (e.g. study, read, do homework, write a paper, watch documentary, etc.)",Studying,1/20/2018,08:00,10:00,5,
Indoor,"Physical Work (e.g. House Maintenance, Gardening etc.)",Clean Basement,1/20/2018,10:00,12:00,9,
Indoor,"Spiritual (e.g. Meditation, Prayers etc.)",Meditation,1/20/2018,14:00,16:00,7,
Outdoor,"Social Activity (e.g. Parents, Kids etc.)",Friends,1/20/2018,16:00,18:00,8,
Indoor,"Social Activity (e.g. Parents, Kids etc.)",Kids,1/20/2018,18:00,20:00,8,
Indoor,"Intellectual (e.g. study, read, do homework, write a paper, watch documentary, etc.)",Studying,1/21/2018,08:00:00,10:00:00,9,
Indoor,"Physical Work (e.g. House Maintenance, Gardening etc.)",Clean Home,1/21/2018,10:00:00,12:00:00,8,
Indoor,"Spiritual (e.g. Meditation, Prayers etc.)",Prayers,1/21/2018,15:00:00,16:00:00,8,
Indoor,"Fitness and Health (eg: Swimming, Jogging, Workout etc.)",Gym,1/21/2018,16:00:00,18:00:00,7,
Indoor,"Social Activity (e.g. Parents, Kids etc.)",Friends,1/21/2018,18:00:00,20:00:00,8,
Indoor,"Intellectual (e.g. study, read, do homework, write a paper, watch documentary, etc.)",Research,1/22/2018,08:00:00,10:00:00,7,
Outdoor,"Physical Work (e.g. House Maintenance, Gardening etc.)",Clean Lawn,1/22/2018,10:00:00,12:00:00,9,
Outdoor,"Spiritual (e.g. Meditation, Prayers etc.)",Meditation,1/22/2018,15:00:00,16:00:00,9,
Indoor,"Fitness and Health (eg: Swimming, Jogging, Workout etc.)",Swimming,1/22/2018,16:00:00,18:00:00,8,
Outdoor,"Social Activity (e.g. Parents, Kids etc.)",Kids,1/22/2018,18:00,21:00,9,
Indoor,"Intellectual (e.g. study, read, do homework, write a paper, watch documentary, etc.)",Assignments,1/23/2018,08:00:00,10:00:00,8,
Outdoor,"Physical Work (e.g. House Maintenance, Gardening etc.)",Clean Car,1/23/2018,10:00:00,12:00:00,8,
Indoor,"Spiritual (e.g. Meditation, Prayers etc.)",Prayers,1/23/2018,14:00,16:00,9,
Outdoor,"Social Activity (e.g. Parents, Kids etc.)",Parents,1/23/2018,16:00,18:00,8,
Outdoor,"Social Activity (e.g. Parents, Kids etc.)",Movies,1/23/2018,18:00,21:00,9,
Indoor,"Intellectual (e.g. study, read, do homework, write a paper, watch documentary, etc.)",Studying,1/24/2018,08:00:00,10:00:00,9,
Outdoor,"Errands (e.g. Pay Bills, go to Post Office, Shopping etc.)",House Supplies,1/24/2018,10:00:00,12:00:00,6,
Indoor,"Physical Work (e.g. House Maintenance, Gardening etc.)",Gym,1/24/2018,16:00,18:00,8,
Outdoor,"Errands (e.g. Pay Bills, go to Post Office, Shopping etc.)",Post Office,1/24/2018,18:00,20:00,10,
Indoor,"Spiritual (e.g. Meditation, Prayers etc.)",Meditation,1/24/2018,20:00,22:00,6,
Outdoor,"Intellectual (e.g. study, read, do homework, write a paper, watch documentary, etc.)",Studying,1/25/2018,08:00,10:00,8,
Indoor,"Physical Work (e.g. House Maintenance, Gardening etc.)",Clean Basement,1/25/2018,10:00,12:00,6,
Indoor,"Spiritual (e.g. Meditation, Prayers etc.)",Meditation,1/25/2018,14:00,16:00,8,
Outdoor,"Social Activity (e.g. Parents, Kids etc.)",Friends,1/25/2018,16:00,18:00,8,
Indoor,"Social Activity (e.g. Parents, Kids etc.)",Kids,1/25/2018,18:00,20:00,8,
Indoor,"Intellectual (e.g. study, read, do homework, write a paper, watch documentary, etc.)",Studying,1/26/2018,08:00:00,10:00:00,8,
Indoor,"Physical Work (e.g. House Maintenance, Gardening etc.)",Clean Home,1/26/2018,10:00:00,12:00:00,5,
Indoor,"Spiritual (e.g. Meditation, Prayers etc.)",Prayers,1/26/2018,15:00:00,16:00:00,8,
Indoor,"Fitness and Health (eg: Swimming, Jogging, Workout etc.)",Gym,1/26/2018,16:00:00,18:00:00,1,
Indoor,"Social Activity (e.g. Parents, Kids etc.)",Friends,1/26/2018,18:00:00,20:00:00,6,
Indoor,"Intellectual (e.g. study, read, do homework, write a paper, watch documentary, etc.)",Research,1/27/2018,08:00:00,10:00:00,5,
Outdoor,"Physical Work (e.g. House Maintenance, Gardening etc.)",Clean Lawn,1/27/2018,10:00:00,12:00:00,8,
Outdoor,"Spiritual (e.g. Meditation, Prayers etc.)",Meditation,1/27/2018,15:00:00,16:00:00,9,
Indoor,"Fitness and Health (eg: Swimming, Jogging, Workout etc.)",Swimming,1/27/2018,16:00:00,18:00:00,7,
Outdoor,"Social Activity (e.g. Parents, Kids etc.)",Kids,1/27/2018,18:00,21:00,8,
Indoor,"Intellectual (e.g. study, read, do homework, write a paper, watch documentary, etc.)",Assignments,1/28/2018,08:00:00,10:00:00,8,
Outdoor,"Physical Work (e.g. House Maintenance, Gardening etc.)",Clean Car,1/28/2018,10:00:00,12:00:00,8,
Indoor,"Spiritual (e.g. Meditation, Prayers etc.)",Prayers,1/28/2018,14:00,16:00,6,
Outdoor,"Social Activity (e.g. Parents, Kids etc.)",Parents,1/28/2018,16:00,18:00,10,
Outdoor,"Social Activity (e.g. Parents, Kids etc.)",Movies,1/28/2018,18:00,21:00,10,
Indoor,"Intellectual (e.g. study, read, do homework, write a paper, watch documentary, etc.)",Studying,1/29/2018,08:00:00,10:00:00,6,
Outdoor,"Errands (e.g. Pay Bills, go to Post Office, Shopping etc.)",House Supplies,1/29/2018,10:00:00,12:00:00,5,
Indoor,"Physical Work (e.g. House Maintenance, Gardening etc.)",Gym,1/29/2018,16:00,18:00,6,
Outdoor,"Errands (e.g. Pay Bills, go to Post Office, Shopping etc.)",Post Office,1/29/2018,18:00,20:00,9,
Indoor,"Spiritual (e.g. Meditation, Prayers etc.)",Meditation,1/29/2018,20:00,22:00,6,
Outdoor,"Intellectual (e.g. study, read, do homework, write a paper, watch documentary, etc.)",Studying,1/30/2018,08:00,10:00,10,
Indoor,"Physical Work (e.g. House Maintenance, Gardening etc.)",Clean Basement,1/30/2018,10:00,12:00,9,
Indoor,"Spiritual (e.g. Meditation, Prayers etc.)",Meditation,1/30/2018,14:00,16:00,6,
Outdoor,"Social Activity (e.g. Parents, Kids etc.)",Friends,1/30/2018,16:00,18:00,8,
Indoor,"Social Activity (e.g. Parents, Kids etc.)",Kids,1/30/2018,18:00,20:00,3,
Indoor,"Intellectual (e.g. study, read, do homework, write a paper, watch documentary, etc.)",Studying,1/31/2018,08:00:00,10:00:00,8,
Indoor,"Physical Work (e.g. House Maintenance, Gardening etc.)",Clean Home,1/31/2018,10:00:00,12:00:00,5,
Indoor,"Spiritual (e.g. Meditation, Prayers etc.)",Prayers,1/31/2018,15:00:00,16:00:00,7,
Indoor,"Fitness and Health (eg: Swimming, Jogging, Workout etc.)",Gym,1/31/2018,16:00:00,18:00:00,9,
Indoor,"Social Activity (e.g. Parents, Kids etc.)",Friends,1/31/2018,18:00:00,20:00:00,8,